dataset,n,R2,RMSE,MAE,Bias,Mean_observed,Mean_predicted,depth_group,evaluation
0–30 cm,13186,0.41099149837772964,1.502649057169883,0.9133457117482349,-0.22676343945924493,2.1064474315740176,1.879683992114773,0–30 cm,RaCA grouped OOF
>30 cm,12519,0.24179766597169638,0.7881106867756478,0.3786326404915966,-0.08160354147895249,0.6284035945478873,0.5468000530689348,>30 cm,RaCA grouped OOF
0–30 cm,825,0.486365432233568,1.1463371174148669,0.7058390573825136,-0.31882430708913845,2.185063272883078,1.8662389657939393,0–30 cm,DSP4SH external
>30 cm,761,0.19949777510140287,0.5220624823223584,0.3238558395801494,-0.2063889491508931,0.7128507419721809,0.5064617928212878,>30 cm,DSP4SH external
