dataset,n,R2,RMSE,MAE,Bias,Mean_observed,Mean_predicted
RaCA grouped OOF — rows,25705,0.4982290504372473,1.208624358796691,0.6529266127767565,-0.1560668137904925,1.3866018452783504,1.230535031487858
RaCA grouped OOF — 250m pixel × 10cm depth,24324,0.5038475068200579,1.1770074755853155,0.6294471592030065,-0.1508174589636377,1.3433408359991061,1.1925233770354684
DSP4SH external — rows,1586,0.599868037520529,0.9024043892559234,0.5225545511313716,-0.26487518438999363,1.4786611694636629,1.213785985073669
DSP4SH external — 250m pixel × 10cm depth,684,0.6279399480070582,0.6826616802907921,0.4311215984660797,-0.27055999648380724,1.2173763393502803,0.946816342866473
