dataset,n,R2,RMSE,MAE,Bias,Mean_observed,Mean_predicted
RaCA grouped OOF,79360,0.34567137205344156,0.2060840147677915,0.1609961005970009,-0.013352822243787673,1.2802100912880925,1.2668572690443045
DSP4SH external,1310,-0.22009571942553063,0.30579040482639863,0.2399055925818188,-0.0946543904279215,1.3479059242183207,1.253251533790399
