dataset,n,coverage_90,mean_interval_width,median_interval_width,mean_lower,mean_upper
RaCA grouped cross-fit,16434,0.9001460387002556,0.029709727992805503,0.02446578116067641,0.004282488921992429,0.03399221691479793
DSP4SH external,1345,0.8973977695167287,0.026729686185717583,0.021522510796785355,0.005002888385206461,0.031732574105262756
