pixel_x_250m,pixel_y_250m,depth_bin_10cm,observed_SOC_pct,predicted_SOC_pct,lower_90,upper_90,n_horizons
-54956,22324,0,5.22466663519541,3.6064241166666666,0.6202807263290405,6.592567507004293,6
-54956,22324,2,3.6613333225250195,2.2143596000000003,0.3158631311381024,4.112856068861898,3
-54956,22324,5,1.5386666854222568,0.9268489,0.010600479125722225,1.8430973208742778,3
-54956,22324,8,0.5279999872048634,0.5256359166666666,0.0,1.1705068734054564,3
-54928,22434,0,4.319000045458472,4.4322614499999995,1.666407091326904,7.198115808673095,6
-54928,22434,2,3.0353333950042694,3.7390177,1.165145610614014,6.312889789385987,3
-54928,22434,4,1.7093333005905098,1.6807138000000001,0.1086577449310302,3.2527698550689697,3
-54928,22434,7,1.2330000201861033,0.8764857,0.0,1.7757513469345092,3
-54919,22129,0,3.5839999914169303,2.4429688,0.15929492166900627,4.736810758045959,2
-54919,22129,1,3.64800000190734,1.8755485,0.39785005467987067,3.3532469453201292,1
-54919,22129,3,2.51399993896484,1.3987205,0.11513971997070316,2.682301280029297,1
-54919,22129,5,1.19000005722045,0.73288614,0.0,1.4877562567106628,1
-54919,22129,8,0.57999998331069,0.36262593,0.0,0.800073656726532,1
-54919,22130,0,3.2772499918937648,2.5384373,0.19768767860870362,4.879186921391296,4
-54919,22130,1,2.940000057220455,1.8697467,0.4642737061492921,3.2752196938507083,2
-54919,22130,3,2.2444999217987,1.4140556,0.12959767801818844,2.6985135219818117,2
-54919,22130,5,1.201499998569485,0.7116454,0.0,1.4672460312370301,2
-54919,22130,8,0.636500000953665,0.36182353,0.0,0.8024632940705109,2
-54902,22257,0,3.8721666336059517,3.593745033333333,0.8283529682851155,6.359137098381551,6
-54902,22257,1,3.7239999771118106,2.916558633333333,0.5679102441528321,5.2652070225138345,3
-54902,22257,3,2.4056665897369367,1.6157938333333333,0.07648886163838704,3.1550988050282793,3
-54902,22257,7,0.8029999931653299,0.7207621999999999,0.0,1.526583916785431,3
-54890,22321,0,2.8183333476384433,2.4961747,0.3848557541152955,4.607493645884705,6
-54890,22321,2,1.4390000104904133,2.0145926,0.5349163533569334,3.4942688466430663,3
