dataset,n,coverage_90,mean_interval_width,median_interval_width,mean_lower,mean_upper,depth_group
RaCA grouped cross-fit,13186,0.8915516456848173,3.277140144214641,2.815937492332676,0.2834157060946873,3.5605558503093278,0–30 cm
RaCA grouped cross-fit,12519,0.9090981707804138,1.2565529581829633,1.0534003224976463,0.007123948311670731,1.263676906494634,>30 cm
DSP4SH external,825,0.8981818181818182,2.979696381478516,2.646543025970459,0.3803862233568617,3.360082604835378,0–30 cm
DSP4SH external,761,0.8554533508541393,1.1028108675143102,0.9835771274327088,0.010583161817704249,1.1133940293320141,>30 cm
