dataset,n,coverage_90,mean_interval_width,median_interval_width,mean_lower,mean_upper
RaCA grouped cross-fit — rows,25705,0.9000972573429294,2.293061911110942,1.6768760558022786,0.14885447226136367,2.4419163833723054
RaCA grouped cross-fit — 250m pixel × 10cm depth,24324,0.9013731294195033,2.225677544502604,1.626389652576292,0.14201883468284696,2.3676963791854506
DSP4SH external — rows,1586,0.8776796973518285,2.079122689090899,1.5714898109436035,0.20294604061329366,2.282068729704193
DSP4SH external — 250m pixel × 10cm depth,684,0.8508771929824561,1.7256103331572288,1.3784774441688281,0.1252176033870522,1.8508279365442806
