dataset,n,R2,RMSE,MAE,Bias,Mean_observed,Mean_predicted
RaCA grouped OOF,16434,0.37817532975946877,0.015409227969605727,0.008196238474437607,8.624108105546493e-06,0.01866826589398475,0.018676890002090298
DSP4SH external,1345,0.5471961781510637,0.010201577668090704,0.00661615676585753,-0.0006615173308751801,0.01875597007821633,0.018094452747341148
