dataset,n,coverage_90,mean_interval_width,median_interval_width,mean_lower,mean_upper
RaCA with operational mapping multiplier,79360,0.9757308467741935,0.9210208223139208,0.9049743501900331,0.8063477387812662,1.727368561095187
DSP4SH used for operational interval scaling,1310,0.9015267175572519,0.948354959487915,0.9494211673736572,0.77907395362854,1.7274291515350342
