dataset,n,coverage_90,mean_interval_width,median_interval_width,mean_lower,mean_upper
RaCA grouped cross-fit,79360,0.9000252016129032,0.6604406213624524,0.6489328627478566,0.9366369583630781,1.597077579725531
DSP4SH external,1310,0.7793893129770992,0.6800400018692017,0.6808044910430908,0.913231611251831,1.5932713747024536
